" ","VGCPastes Repository (Champions M-A Featured Teams!)","","","","","","","","","","","","","","","","","","","","","","326","","","","","Total Creator Count: ","243","","","Teams with Rentals: ","169","","","","","Teams included here:
International/Regional: Day 2
Local: Top 4
Special Online Tour: Top Cut","","Ladder: Top 300 Champions Tier (End of season), Top 100 Peak
Online Tour (200+ Players): Top 16
Online Tour (100+ Players): Top 8
Online Tour: Top 4
","","","","","",""
"","Click here to visit our Twitter for latest updates!","","Please scroll to the right to see guidelines for teams included here!","","","","","","","","","","","","","","","","","","","","","","","","","DM us in Discord if Rental Code is not available anymore! ⬇︎","","","Source /","","","","","","","","","","","","","","",""
"Team ID","Category","Team Description","","Full Name","","1","","","2","","","3","","","4","","","5","","","6","","","","Pokepaste","EVs","Extracted paste?","Rental Status","Rental Code
(Click text for image)","","Tournament / Event","Rank","Link to Source","Report / Video","Other Links","Owner","","Pokemon Text for Copypasta","","","","","","","",""
"PC1102","In Person Event","cona's PJCS 2026 Champion Team","🥇","Hiroshi Onishi","","","","Floettite","","","Charizardite Y","","","Mystic Water","","","Focus Sash","","","Occa Berry","","","Roseli Berry","","https://pokepast.es/c17e51b1dee42c8c","Yes","Extracted","✔","42TTHSSH9V","8 Jun 2026","PJCS 2026","Champion","https://x.com/cona_5757/status/2064628322911592576?s=46","https://note.com/cona_5757/n/nacf363dcc136?sub_rt=share_pb","https://victoryroad.pro/2026-japan/","cona_5757","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC1101","In Person Event","ryu_poke197's PJCS 2026 Champion Team (Seniors)","","ryu_poke197","","","","Aerodactylite","","","Charizardite Y","","","Focus Sash","","","Chople Berry","","","Fairy Feather","","","Choice Scarf","","https://pokepast.es/1f7d6d16d171d672","Yes","Extracted","X","None","8 Jun 2026","PJCS 2026","Champion (Seniors)","https://x.com/ryu_poke197/status/2063969683418870172?s=46","-","https://victoryroad.pro/2026-japan/","ryu_poke197","","Aerodactyl-Mega","Charizard","Basculegion","Kingambit","Sylveon","Garchomp","","",""
"PC1100","In Person Event","alaninepoke's PJCS 2026 Runner Up Team","🥈","alaninepoke","","","","Froslassite","","","Gengarite","","","Chople Berry","","","Sitrus Berry","","","Colbur Berry","","","Leftovers","","https://pokepast.es/34cb00fce368cd94","Yes","Extracted","✔","G8JVKBFKXA","8 Jun 2026","PJCS 2026","Runner Up","https://x.com/alaninepoke/status/2063760540183498860?s=46","https://note.com/alaninepoke/n/nf03162cfeec9?sub_rt=share_pb","https://victoryroad.pro/2026-japan/","alaninepoke","","Froslass-Mega","Gengar-Mega","Incineroar","Politoed","Sinistcha","Archaludon","","",""
"PC1099","In Person Event","vdmd8olfjy68698's PJCS 2026 Runner Up Tean (Seniors)","","vdmd8olfjy68698","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","White Herb","","","Chople Berry","","","Choice Scarf","","https://pokepast.es/879641da13859e2f","Yes","Extracted","X","None","11 Jun 2026","PJCS 2026","Runner Up (Seniors)","https://x.com/vdmd8olfjy68698/status/2065067401360851323?s=46","https://note.com/long_bear3239/n/n71edf6bfc0a5?sub_rt=share_b","https://victoryroad.pro/2026-japan/","vdmd8olfjy68698","","Floette-Eternal-Mega","Charizard","Aerodactyl","Sneasler","Kingambit","Garchomp","","",""
"PC1098","In Person Event","hiyu000000's PJCS 2026 Top 4 Team (Seniors)","","hiyu000000","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","White Herb","","","Black Glasses","","","Choice Scarf","","https://pokepast.es/8bcfc47c2d206318","Yes","Extracted","X","None","7 Jun 2026","PJCS 2026","Top 4 (Seniors)","https://x.com/hiyu000000/status/2063651177779323329","https://note.com/hiyu7777/n/ne867f3d4ab18","https://victoryroad.pro/2026-japan/","hiyu000000","","Floette-Eternal-Mega","Charizard","Aerodactyl","Sneasler","Kingambit","Garchomp","","",""
"PC1097","In Person Event","nm_k_'s PJCS 2026 Top 4 Team (Seniors)","","nm_k_","","","","Scovillainite","","","Sitrus Berry","","","Roseli Berry","","","Mental Herb","","","Leftovers","","","Focus Sash","","https://pokepast.es/25efa05b579532c4","Yes","Extracted","✔","BVUSEPP67B","7 Jun 2026","PJCS 2026","Top 4 (Seniors)","https://x.com/nm_k_/status/2063582602666430566","-","https://victoryroad.pro/2026-japan/","nm_k_","","Scovillain-Mega","Milotic","Sableye","Espathra","Archaludon","Dragapult","","",""
"PC1096","In Person Event","shinde_klefki's PJCS 2026 Top 8 Team","","shinde_klefki","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Focus Sash","","","Occa Berry","","","Roseli Berry","","https://pokepast.es/ab6c9628e68c807e","Yes","Extracted","X","None","7 Jun 2026","PJCS 2026","Top 8","https://x.com/shinde_klefki/status/2063504367010107679?s=20","-","https://victoryroad.pro/2026-japan/","shinde_klefki","","Floette-Eternal-Mega","Charizard","Basculegion","Whimsicott","Kingambit","Garchomp","","",""
"PC1095","In Person Event","chaguma_poke90's PJCS 2026 Top 8 Team","","chaguma_poke90","","","","Floettite","","","Charizardite Y","","","Sitrus Berry","","","Mystic Water","","","Focus Sash","","","Roseli Berry","","https://pokepast.es/19869685c7f988a4","Yes","Extracted","X","None","7 Jun 2026","PJCS 2026","Top 8","https://x.com/chaguma_poke90/status/2063564601887973773?s=46","-","https://victoryroad.pro/2026-japan/","chaguma_poke90","","Floette-Eternal-Mega","Charizard","Incineroar","Basculegion","Whimsicott","Garchomp","","",""
"PC1094","In Person Event","yui135100's PJCS 2026 Top 8 Team (Seniors)","","yui135100","","","","Floettite","","","Charizardite Y","","","Focus Sash","","","Roseli Berry","","","Black Glasses","","","Choice Scarf","","https://pokepast.es/cb0771363fbc3134","Yes","Extracted","X","None","7 Jun 2026","PJCS 2026","Top 8 (Seniors)","https://x.com/yui135100/status/2063588703789105311?s=46","-","https://victoryroad.pro/2026-japan/","yui135100","","Floette-Eternal-Mega","Charizard","Sneasler","Sableye","Kingambit","Garchomp","","",""
"PC1064","In Person Event","marcofiero's Turin SPE 2026 Champion Team","🥇","Marco Silva","","","","Floettite","","","Gengarite","","","Passho Berry","","","White Herb","","","Black Glasses","","","Leftovers","","https://pokepast.es/5c796892bed0f0d4","Yes","Extracted","✔","3JM5SYU5KL","7 Jun 2026","Turin SPE 2026","Champion","https://x.com/marc0fier0/status/2065212428795752628?s=46","-","https://victoryroad.pro/2026-turin/","marc0fier0","","Floette-Eternal-Mega","Gengar-Mega","Incineroar","Sneasler","Kingambit","Kommo-o","","",""
"PC1063","In Person Event","Louis Fontvieille's Turin SPE 2026 Runner Up Team","🥈","Louis Fontvieille","","","","Delphoxite","","","Floettite","","","Sitrus Berry","","","Focus Sash","","","White Herb","","","Kasib Berry","","https://pokepast.es/08474f5d53178bc4","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","Runner Up","No Tweet","-","https://victoryroad.pro/2026-turin/","Manual Entry","","Delphox-Mega","Floette-Eternal-Mega","Incineroar","Basculegion","Sneasler","Sinistcha","","",""
"PC1062","In Person Event","Mean's Turin SPE 2026 Top 4 Team","🥉","Arash Ommati","","","","Delphoxite","","","Floettite","","","Passho Berry","","","Chople Berry","","","Choice Scarf","","","Kasib Berry","","https://pokepast.es/34b7166edb4af0b5","No","Extracted","X","None","7 Jun 2026","Turin SPE 2026","3rd","https://x.com/Mean_vgc/status/2063989030404898962","-","https://victoryroad.pro/2026-turin/","Mean_vgc","","Delphox-Mega","Floette-Eternal-Mega","Incineroar","Maushold","Vivillon","Sinistcha","","",""
